id,video_file,question,options,answer,ground_truth,question_type
0,Data/left_videos/video_0000000.mp4,"I am jogging, are there any Intersections visible between frame 12 and 16?","['A. yes', 'B. no']",A,yes,Intersections Ahead (Specific Range)
1,Data/left_videos/video_0000001.mp4,Are there pedestrians visible between frame 8 and 10?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
2,Data/left_videos/video_0000004.mp4,Where am I currently running? between frame 0 and 10?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path or hiking path']",D,off trail,Navigation Lane 
3,Data/left_videos/video_0000005.mp4,Are there obstructions visible to my left or right between frame 17 and 21?,"['A. left', 'B. right', 'C. none', 'D. both']",D,both,Obstructions (Specific Range)
4,Data/left_videos/video_0000006.mp4,Are there pedestrians visible between frame 0 and 8?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
5,Data/left_videos/video_0000007.mp4,"I am jogging, are there any Intersections visible between frame 20 and 25?","['A. yes', 'B. no']",A,yes,Intersections Ahead (Specific Range)
6,Data/left_videos/video_0000008.mp4,Are there pedestrians visible between frame 8 and 15?,"['A. yes', 'B. no']",B,no,Pedestrians (Specific Range)
7,Data/left_videos/video_0000010.mp4,"I am jogging, are there any Intersections visible between frame 2 and 8?","['A. yes', 'B. no']",A,yes,Intersections Ahead (Specific Range)
8,Data/left_videos/video_0000011.mp4,Where am I currently running? between frame 20 and 25?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path or hiking path']",D,off trail,Navigation Lane 
9,Data/left_videos/video_0000012.mp4,Where am I currently running? between frame 0 and 10?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path or hiking path']",D,off trail,Navigation Lane 
10,Data/left_videos/video_0000003.mp4,Where am I currently running? between frame 0 and 31?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path or hiking path']",D,off trail,Navigation Lane 
11,Data/left_videos/video_0000013.mp4,"I am jogging, are there any Intersections visible between frame 0 and 6?","['A. yes', 'B. no']",B,no,Intersections Ahead (Specific Range)
12,Data/left_videos/video_0000014.mp4,Are there pedestrians visible between frame 10 and 17?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
13,Data/left_videos/video_0000015.mp4,Are there obstructions visible to my left or right between frame 0 and 10?,"['A. left', 'B. right', 'C. none', 'D. both']",D,both,Obstructions (Specific Range)
14,Data/left_videos/video_0000016.mp4,Are there obstructions visible to my left or right between frame 0 and 10?,"['A. left', 'B. right', 'C. none', 'D. both']",D,both,Obstructions (Specific Range)
15,Data/left_videos/video_0000017.mp4,I am jogging. Should I veer left or right to avoid obstructions between frame 27 and 31?,"['A. left', 'B. right', 'C. stay straight']",C,stay straight,Navigation Veer
16,Data/left_videos/video_0000018.mp4,"I am jogging, are there any Intersections visible between frame 20 and 26?","['A. yes', 'B. no']",A,yes,Intersections Ahead (Specific Range)
17,Data/left_videos/video_0000019.mp4,Where am I currently running between frame 0 and 7?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",D,off trail or hiking path,Navigation Lane 
18,Data/left_videos/video_0000021.mp4,I am jogging. Should I veer left or right to avoid obstructions between frame 0 and 7?,"['A. left', 'B. right', 'C. stay straight']",C,stay straight,Navigation Veer
19,Data/left_videos/video_0000022.mp4,"I am jogging, are there any Intersections visible between frame 0 and 7?","['A. yes', 'B. no']",A,yes,Intersections Ahead (Specific Range)
20,Data/left_videos/video_0000024.mp4,Are there pedestrians visible between frame 0 and 7?,"['A. yes', 'B. no']",B,no,Pedestrians (Specific Range)
21,Data/left_videos/video_0000025.mp4,"I am jogging, are there any Intersections visible between frame 13 and 18?","['A. yes', 'B. no']",A,yes,Intersections Ahead (Specific Range)
22,Data/left_videos/video_0000026.mp4,Are there pedestrians visible between frame 0 and 6?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
23,Data/left_videos/video_0000028.mp4,Are there pedestrians visible between frame 20 and 25?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
24,Data/left_videos/video_0000029.mp4,Are there pedestrians visible between frame 3 and 9?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
25,Data/left_videos/video_0000030.mp4,Where am I currently running between frame 0 and 5?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",D,off trail or hiking path,Navigation Lane 
26,Data/left_videos/video_0000031.mp4,Where am I currently running between frame 0 and 31?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",D,off trail or hiking path,Navigation Lane 
27,Data/left_videos/video_0000032.mp4,Are there pedestrians visible between frame 0 and 31?,"['A. yes', 'B. no']",A,yes,Pedestrians (Specific Range)
28,Data/left_videos/video_0000033.mp4,I am jogging. Should I veer left or right to avoid obstructions between frame 0 and 7?,"['A. left', 'B. right', 'C. stay straight']",A,left,Navigation Veer
29,Data/left_videos/video_0000034.mp4,I am jogging. Should I veer left or right to avoid obstructions between frame 5 and 12?,"['A. left', 'B. right', 'C. stay straight']",C,stay straight,Navigation Veer
30,Data/left_videos/video_0000035.mp4,Is there an immediate turn between frame 18 and 22?,"['A. yes turn left', 'B. yes turn right', 'C. yes turn left or right', 'D. no']",B,yes turn right,Navigation Turn
31,Data/left_videos/video_0000036.mp4,Is there an immediate turn between frame 5 and 12?,"['A. yes turn left', 'B. yes turn right', 'C. yes turn left or right', 'D. no']",B,yes turn right,Navigation Turn
32,Data/left_videos/video_0000037.mp4,Are there obstructions visible to my left or right between frame 0 and 7?,"['A. left', 'B. right', 'C. none', 'D. both']",C,none,Obstructions (Specific Range)
33,Data/left_videos/video_0000038.mp4,Where am I currently running between frame 0 and 5?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",D,off trail or hiking path,Navigation Lane 
34,Data/left_videos/video_0000039.mp4,Where am I currently running between frame 0 and 10?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",B,sidewalk,Navigation Lane 
35,Data/left_videos/video_0000040.mp4,Where am I currently running between frame 0 and 7?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",B,sidewalk,Navigation Lane 
36,Data/left_videos/video_0000041.mp4,Where am I currently running between frame 0 and 7?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",B,sidewalk,Navigation Lane 
37,Data/left_videos/video_0000042.mp4,Where am I currently running between frame 0 and 7?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",B,sidewalk,Navigation Lane 
38,Data/left_videos/video_0000043.mp4,Where am I currently running between frame 0 and 7?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",A,designated running lane,Navigation Lane 
39,Data/left_videos/video_0000044.mp4,Are there obstructions visible to my left or right between frame 0 and 10?,"['A. left', 'B. right', 'C. none', 'D. both']",D,both,Obstructions (Specific Range)
40,Data/left_videos/video_0000045.mp4,Where am I currently running between frame 0 and 7?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",B,sidewalk,Navigation Lane 
41,Data/left_videos/video_0000047.mp4,Where am I currently running between frame 10 and 17?,"['A. designated running lane', 'B. sidewalk', 'C. street', 'D. off trail or hiking path']",C,street,Navigation Lane 
